Scientific name,Extinction date 
Cypseloides cryptus,2019
Cypseloides rothschildi,2019
Artisornis sousae,2019
Myioborus cardonai,2019
Aprositornis disjuncta,2019
Herpsilochmus dugandi,2019
Ramphastos brevis,2019
Ara tricolor,1885
Crypturellus ptaritepui,2019
Rallus wetmorei,2019
Loxops wolstenholmei,1968
Cinclodes comechingonus,2019
Neopelma chrysolophum,2019
Leptotila conoveri,2019
Odontospiza griseicapilla,2019
Bradypterus bangwaensis,2019
Cyanomitra bannermani,2019
Saltator cinctus,2019
Penelope dabbenei,2019
Acrocephalus hiwae,2019
Hirundo megaensis,2019
Vireo caribaeus,2019
Aegotheles archboldi,2019
Aerodramus papuensis,2019
Zentrygon carrikeri,2019
Actenoides excelsus,2019
Alcedo peninsulae,2019
Apalis argentea,2019
Cichlocolaptes holti,2019
Hylopezus auricularis,2019
Sheppardia lowei,2019
Aethopyga primigenia,2019
Scytalopus opacus,2019
Fulvetta danisi,2019
Cymbilaimus sanctaemariae,2019
Elaenia sordida,2019
Pyrrhura chapmani,2019
Megascops seductus,2019
Alopecoenas salamonis,1961
Treron pembaensis,2019
Lonchura teerinki,2019
Dendrocolaptes punctipectus,2019
Anthornis melanocephala,1922
Philemon brassi,2019
Cinnyris idenburgi,2019
Arremon perijanus,2019
Atlapetes nigrifrons,2019
Petroica archboldi,2019
Archboldia papuensis,2019
Scytalopus zimmeri,2019
Hemitriccus minimus,2019
Pogonotriccus chapmani,2019
Synthliboramphus scrippsi,2019
Pauxi unicornis,2019
Lonchura montana,2019
Akialoa stejnegeri,1969
Oreopsar bolivianus,2019
Laniellus langbianis,2019
Laniarius brauni,2019
Symposiachrus boanensis,2019
Astrapia mayeri,2019
Turdinus calcicola,2019
Pitta morotaiensis,2019
Scytalopus affinis,2019
Scytalopus altirostris,2019
Scytalopus parvirostris,2019
Scytalopus urubambae,2019
Scytalopus vicinior,2019
Conothraupis mesoleuca,2019
Xenodacnis petersi,2019
Geokichla mendeni,2019
Empidonax oberholseri,2019
Otus mendeni,2019
Tyto nigrobrunnea,2019
Oreonympha albolimbata,2019
Charadrius javanicus,2019
Apalis fuscigularis,2019
Scepomycter winifredae,2019
Zavattariornis stresemanni,2019
Paroreomyza flammea,1970
Asthenes huancavelicae,2019
Anthus hoeschi,2019
Aplonis brunneicapillus,2019
Pithys castaneus,2019
Xenotriccus mexicanus,2019
Crypturellus duidae,2019
Erythrura viridifacies,2019
Hylopezus nattereri,2019
Terpsiphone unirufa,2019
Dessonornis mbuluensis,2019
Pyrgilauda theresae,2019
Phylloscopus ibericus,2019
Scytalopus spillmanni,2019
Aplonis santovestris,2019
Sylvia subalpina,2019
Thamnophilus praecox,2019
Otus pamelae,2019
Otus pembaensis,2019
Afropavo congensis,2019
Pica asirensis,2019
Euphonia imitans,2019
Quiscalus palustris,1910
Microptilotis cinereifrons,2019
Melaenornis ardesiacus,2019
Schiffornis aenea,2019
Vireo nelsoni,2019
Psephotellus pulcherrimus,1928
Haliaeetus sanfordi,2019
Anas nesiotis,2019
Aerodramus orientalis,2019
Aerodramus pelewensis,2019
Eurostopodus archboldi,2019
Phaethornis porcullae,2019
Alopecoenas sanctaecrucis,2019
Cyanocorax dickeyi,2019
Cranioleuca marcapatae,2019
Syndactyla striata,2019
Myzomela longirostris,2019
Hedydipna pallidigaster,2019
Horornis parens,2019
Fulvetta ludlowi,2019
Myrmotherula grisea,2019
Zoothera margaretae,2019
Zosterops crookshanki,2019
Zosterops mbuluensis,2019
Zosterops silvanus,2019
Zosterops winifredae,2019
Dendropicos dorae,2019
Megascops clarkii,2019
Accipiter princeps,2019
Larus armenicus,2019
Alectoris philbyi,2019
Psophia dextralis,2019
Laterallus xenopterus,2019
Amaurospiza relicta,2019
Neomixis pallidior,2019
Campylorhamphus probatus,2019
Dendroplex kienerii,2019
Lepidocolaptes duidae,2019
Ficedula subrubra,2019
Monachella coultasi,2019
Batis margaritae,2019
Thamnophilus shumbae,2019
Tephrophilus wetmorei,2019
Campylorhynchus yucatanicus,2019
Pterodroma deserta,2019
Pterodroma madeira,2019
Camptorhynchus labradorius,1875
Pareudiastes silvestris,2019
Apalis lynesi,2019
Cisticola luapula,2019
Cisticola njombe,2019
Sylviorthorhynchus yanacensis,2019
Grallaria atuensis,2019
Grallaricula leymebambae,2019
Megalurulus whitneyi,2019
Arcanator orostruthus,2019
Clytorhynchus sanctaecrucis,2019
Mayrornis schistaceus,2019
Mayrornis versicolor,2019
Cinnyris moreaui,2019
Neodrepanis hypoxantha,2019
Phylloscopus kansuensis,2019
Anairetes alpinus,2019
Newtonia fanovanae,2019
Prionops alberti,2019
Aulacorhynchus huallagae,2019
Thalassarche steadi,2019
Pterodroma pycrofti,2019
Actenoides regalis,2019
Arborophila rufipectus,2019
Calandrella eremica,2019
Lagonosticta virata,2019
Cinclodes aricomae,2019
Upucerthia albigula,2019
Hyliota usambara,2019
Laniarius amboimensis,2019
Gymnomyza brunneirostris,2019
Stresemannia bougainvillei,2019
Fraseria lendu,2019
Cinnyris rockefelleri,2019
Pachycephala richardsi,2019
Schoeniparus variegaticeps,2019
Ploceus bannermani,2019
Hypocnemis ochrogyna,2019
Myrmotherula ambigua,2019
Sciaphylax castanea,2019
Mixornis kelleyi,2019
Myiophobus inornatus,2019
Fregetta maoriana,2019
Eurostopodus diabolicus,2019
Larus relictus,2019
Gymnophaps solomonensis,2019
Gerygone citrina,2019
Randia pseudozosterops,2019
Edolisoma pygmaeum,2019
Artisornis moreaui,2019
Cisticola bailunduensis,2019
Cisticola dambo,2019
Macrosphenus pulitzeri,2019
Myzomela malaitae,2019
Clytorhynchus hamlini,2019
Metabolus takatsukasae,2019
Symposiachrus malaitae,2019
Cyornis sanfordi,2019
Heinrichia calligyna,2019
Heinrichia simplex,2019
Melaenornis herero,2019
Pachycephala feminina,2019
Pachycephala lorentzi,2019
Xenospiza baileyi,2019
Phylloscopus laurae,2019
Phylloscopus misoriensis,2019
Ploceus nicolli,2019
Rhipidura coultasi,2019
Rhipidura drownei,2019
Rhipidura malaitae,2019
Rhipidura ocularis,2019
Rhipidura rennelliana,2019
Sitta insularis,2019
Aplonis insularis,2019
Cercomacroides fuscicauda,2019
Myrmelastes brunneiceps,2019
Conirostrum margaritae,2019
Geomalia heinrichi,2019
Turdus haplochrous,2019
Newtonia archboldi,2019
Rukia longirostra,2019
Zosterops rotensis,2019
Zosterops stresemanni,2019
Gymnobucco vernayi,2019
Geoffroyus hyacinthinus,2019
Ninox malaitae,2019
Lophoceros bradfieldi,2019
Pternistis atrifrons,2019
Rallicula mayri,2019
Calendulauda burra,2019
Mirafra pulpa,2019
Cisticola aberdare,2019
Cisticola bulliens,2019
Cisticola pipiens,2019
Schistolais leontica,2019
Phibalura boliviana,2019
Lonchura vana,2019
Synallaxis cherriei,2019
Garrulax ferrarius,2019
Garrulax monileger,2019
Ptiloprora mayri,2019
Rimator pasquieri,2019
Peneothello cryptoleuca,2019
Sitta solangiae,2019
Spelaeornis kinneari,2019
Cichlopsis peruviana,2019
Zoothera griseiceps,2019
Thalassarche eremita,2019
Charmosyna toxopei,2019
Buteo refectus,2019
Bycanistes brevis,2019
Antrostomus ekmani,2019
Systellura roraimae,2019
Campylopterus duidae,2019
Polytmus milleri,2019
Pternistis swierstrai,2019
Zapornia olivieri,2019
Acrocephalus rimitarae,2019
Calyptophilus tertius,2019
Corvus imparatus,2019
Deconychura pallida,2019
Guadalcanaria inexpectata,2019
Monticola erythronotus,2019
Pachycephala implicata,2019
Phylloscopus amoenus,2019
Sericulus bakeri,2019
Formicivora serrana,2019
Myrmelastes rufifacies,2019
Myrmotherula ignota,2019
Diglossa duidae,2019
Emberizoides duidae,2019
Elaenia dayi,2019
Zosterops hamlini,2019
