species,description_year,extinction_year
Aulacorhynchus.huallagae,1933,NA
Aulacorhynchus.prasinus,1834,NA
Aulacorhynchus.sulcatus,1820,NA
Auriparus.flaviceps,1850,NA
Automolus.infuscatus,1856,NA
Automolus.leucophthalmus,1821,NA
Automolus.melanopezus,1858,NA
Automolus.ochrolaemus,1844,NA
Automolus.rubiginosus,1857,NA
Automolus.rufipectus,1898,NA
Automolus.rufipileatus,1859,NA
Aviceda.cuculoides,1837,NA
Aviceda.jerdoni,1842,NA
Aviceda.leuphotes,1820,NA
Avocettula.recurvirostris,1822,NA
Aythya.affinis,1838,NA
Aythya.americana,1838,NA
Aythya.baeri,1863,NA
Aythya.collaris,1809,NA
Aythya.ferina,1758,NA
Aythya.fuligula,1758,NA
Aythya.marila,1761,NA
Aythya.nyroca,1770,NA
Aythya.valisineria,1814,NA
Babax.koslowi,1906,NA
Babax.lanceolatus,1870,NA
Babax.waddelli,1905,NA
Baeolophus.atricristatus,1850,NA
Baeolophus.bicolor,1766,NA
Baeolophus.inornatus,1845,NA
Baeolophus.ridgwayi,1902,NA
Baeolophus.wollweberi,1850,NA
Baeopogon.clamans,1893,NA
Baeopogon.indicator,1855,NA
Balaeniceps.rex,1850,NA
Balearica.pavonina,1758,NA
Balearica.regulorum,1834,NA
Bambusicola.fytchii,1871,NA
Bambusicola.thoracicus,1815,NA
Bangsia.arcaei,1869,NA
Bangsia.aureocincta,1910,NA
Bangsia.edwardsi,1865,NA
Bangsia.melanochlamys,1910,NA
Bangsia.rothschildi,1897,NA
Bartramia.longicauda,1812,NA
Baryphthengus.martii,1824,NA
Baryphthengus.ruficapillus,1818,NA
Basileuterus.basilicus,1913,NA
Basileuterus.belli,1841,NA
Basileuterus.bivittatus,1837,NA
Basileuterus.chrysogaster,1844,NA
Basileuterus.cinereicollis,1865,NA
Basileuterus.conspicillatus,1880,NA
Basileuterus.coronatus,1844,NA
Basileuterus.culicivorus,1830,NA
Basileuterus.flaveolus,1865,NA
Basileuterus.fraseri,1884,NA
Basileuterus.griseiceps,1869,NA
Basileuterus.hypoleucus,1850,NA
Basileuterus.ignotus,1912,NA
Basileuterus.leucoblepharus,1817,NA
Basileuterus.leucophrys,1868,NA
Basileuterus.luteoviridis,1845,NA
Basileuterus.melanogenys,1865,NA
Basileuterus.nigrocristatus,1840,NA
Basileuterus.rufifrons,1838,NA
Basileuterus.signatus,1906,NA
Basileuterus.trifasciatus,1881,NA
Basileuterus.tristriatus,1844,NA
Batara.cinerea,1819,NA
Bathmocercus.cerviniventris,1877,NA
Bathmocercus.rufus,1895,NA
Bathmocercus.winifredae,1938,NA
Batis.capensis,1766,NA
Batis.crypta,2006,NA
Batis.diops,1905,NA
Batis.fratrum,1900,NA
Batis.ituriensis,1921,NA
Batis.margaritae,1934,NA
Batis.minima,1855,NA
Batis.minor,1901,NA
Batis.minulla,1874,NA
Batis.mixta,1889,NA
Batis.molitor,1850,NA
Batis.occulta,1984,NA
Batis.orientalis,1871,NA
Batis.perkeo,1907,NA
Batis.pririt,1818,NA
Batis.senegalensis,1766,NA
Batis.soror,1903,NA
Batrachostomus.affinis,1847,NA
Batrachostomus.auritus,1829,NA
Batrachostomus.hodgsoni,1859,NA
Batrachostomus.javensis,1821,NA
Batrachostomus.moniliger,1846,NA
Batrachostomus.poliolophus,1892,NA
Batrachostomus.stellatus,1837,NA
Berlepschia.rikeri,1886,NA
