species,description_year,extinction_year
Etheostoma.swannanoa,1889,NA
Etheostoma.tallapoosae,1991,NA
Etheostoma.tecumsehi,1997,NA
Etheostoma.tennesseense,2007,NA
Etheostoma.tetrazonum,1940,NA
Etheostoma.thalassinum,1878,NA
Etheostoma.tippecanoe,1890,NA
Etheostoma.trisella,1963,NA
Etheostoma.tuscumbia,1887,NA
Etheostoma.uniporum,1968,NA
Etheostoma.variatum,1840,NA
Etheostoma.virgatum,1880,NA
Etheostoma.vitreum,1870,NA
Etheostoma.vulneratum,1870,NA
Etheostoma.wapiti,1989,NA
Etheostoma.whipplei,1859,NA
Etheostoma.zonale,1868,NA
Etheostoma.zonifer,1935,NA
Etheostoma.zonistium,1988,NA
Etropus.crossotus,1882,NA
Eucinostomus.argenteus,1855,NA
Eucinostomus.dowii,1863,NA
Eucinostomus.gracilis,1862,NA
Eucinostomus.gula,1824,NA
Eucinostomus.harengulus,1879,NA
Eucinostomus.havana,1912,NA
Eucinostomus.melanopterus,1863,NA
Eucyclogobius.newberryi,1856,NA
Eugerres.mexicanus,1863,NA
Eugerres.plumieri,1830,NA
Euthynnus.alletteratus,1810,NA
Evorthodus.lyricus,1858,NA
Exoglossum.laurae,1931,NA
Exoglossum.maxillingua,1817,NA
Fistularia.petimba,1803,NA
Fistularia.tabacaria,1758,NA
Floridichthys.carpio,1866,NA
Floridichthys.polyommus,1936,NA
Foa.brachygramma,1903,NA
Forbesichthys.agassizii,1872,NA
Fundulus.auroguttatus,1885,NA
Fundulus.bermudae,1874,NA
Fundulus.bifax,1988,NA
Fundulus.blairae,1975,NA
Fundulus.catenatus,1846,NA
Fundulus.chrysotus,1866,NA
Fundulus.cingulatus,1846,NA
Fundulus.confluentus,1879,NA
Fundulus.dispar,1854,NA
Fundulus.escambiae,1887,NA
Fundulus.euryzonus,1981,NA
Fundulus.grandis,1853,NA
Fundulus.grandissimus,1936,NA
Fundulus.jenkinsi,1892,NA
Fundulus.julisia,1982,NA
Fundulus.kansae,1895,NA
Fundulus.lima,1894,NA
Fundulus.lineolatus,1854,NA
Fundulus.luciae,1855,NA
